code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date
1900682,LOCKO Bradley,LOCKO B,Bradley LOCKO,Male,Athlete,FRA,France,France,France,France,FRA,180.0,,['Football'],['Men'],2002-05-06
1900683,LUKEBA Castello,LUKEBA C,Castello LUKEBA,Male,Athlete,FRA,France,France,France,France,FRA,184.0,,['Football'],['Men'],2002-12-17
1900684,MAGASSA Soungoutou,MAGASSA S,Soungoutou MAGASSA,Male,Athlete,FRA,France,France,France,France,FRA,188.0,,['Football'],['Men'],2003-10-08
1900690,MATSIMA Chrislain,MATSIMA C,Chrislain MATSIMA,Male,Athlete,FRA,France,France,France,France,FRA,193.0,,['Football'],['Men'],2002-05-15
1900694,MILLOT Enzo,MILLOT E,Enzo MILLOT,Male,Athlete,FRA,France,France,France,France,FRA,175.0,,['Football'],['Men'],2002-07-17
1900695,NKAMBADIO Obed,NKAMBADIO O,Obed NKAMBADIO,Male,Athlete,FRA,France,France,France,France,FRA,190.0,,['Football'],['Men'],2003-02-07
1900699,OLISE Michael,OLISE M,Michael OLISE,Male,Athlete,FRA,France,France,France,France,FRA,184.0,,['Football'],['Men'],2001-12-12
1900702,RESTES Guillaume,RESTES G,Guillaume RESTES,Male,Athlete,FRA,France,France,France,France,FRA,188.0,,['Football'],['Men'],2005-03-11
1900709,SILDILLIA Kiliann,SILDILLIA K,Kiliann SILDILLIA,Male,Athlete,FRA,France,France,France,France,FRA,186.0,,['Football'],['Men'],2002-05-16
1900718,TRUFFERT Adrien,TRUFFERT A,Adrien TRUFFERT,Male,Athlete,FRA,France,France,France,France,FRA,176.0,,['Football'],['Men'],2001-11-20
1904700,AHMED ATEF,AHMED ATEF,AHMED ATEF,Male,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,165.0,,['Football'],['Men'],2002-12-19
1910360,AHMED KOKA,AHMED KOKA,AHMED KOKA,Male,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,170.0,,['Football'],['Men'],2001-07-04
1910470,OSAMA FAISAL,OSAMA FAISAL,OSAMA FAISAL,Male,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,180.0,,['Football'],['Men'],2001-01-01
1912496,ARIAS Daniela,ARIAS D,Daniela ARIAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,174.0,,['Football'],['Women'],1994-08-31
1912502,ARIAS Carolina,ARIAS C,Carolina ARIAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,160.0,,['Football'],['Women'],1990-09-02
1912638,BARON Angela,BARON A,Angela BARON,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,170.0,,['Football'],['Women'],2003-09-18
1912774,CAICEDO Linda,CAICEDO L,Linda CAICEDO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,162.0,,['Football'],['Women'],2005-02-22
1913005,CARABALI Jorelyn,CARABALI J,Jorelyn CARABALI,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,170.0,,['Football'],['Women'],1997-05-18
1913009,CARACAS Daniela,CARACAS D,Daniela CARACAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,166.0,,['Football'],['Women'],1997-04-25
1917364,IZQUIERDO Ilana,IZQUIERDO I,Ilana IZQUIERDO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,160.0,,['Football'],['Women'],2002-06-14
1917542,MONTOYA Daniela,MONTOYA D,Daniela MONTOYA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,160.0,,['Football'],['Women'],1990-08-22
1917571,PAVI Manuela,PAVI M,Manuela PAVI,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,160.0,,['Football'],['Women'],2000-12-23
1917583,PEREZ Catalina,PEREZ C,Catalina PEREZ,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,173.0,,['Football'],['Women'],1994-11-08
1918063,QUEJADA MINOTA Yirleidys,QUEJADA MINOTA Y,Yirleidys QUEJADA MINOTA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,170.0,,['Football'],['Women'],2002-11-10
1918067,RAMIREZ Mayra,RAMIREZ M,Mayra RAMIREZ,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,177.0,,['Football'],['Women'],1999-03-25
1918114,RESTREPO Marcela,RESTREPO M,Marcela RESTREPO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,170.0,,['Football'],['Women'],1995-11-10
1918142,SALAZAR Liana,SALAZAR L,Liana SALAZAR,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,160.0,,['Football'],['Women'],1992-09-16
1918181,SANTOS Leicy,SANTOS L,Leicy SANTOS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,155.0,,['Football'],['Women'],1996-05-16
1918223,SEPULVEDA Sandra,SEPULVEDA S,Sandra SEPULVEDA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,167.0,,['Football'],['Women'],1988-03-03
1918231,TAPIA Katherine,TAPIA K,Katherine TAPIA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,178.0,,['Football'],['Women'],1992-12-07
1918303,USME Catalina,USME C,Catalina USME,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,167.0,,['Football'],['Women'],1989-12-25
1918306,VANEGAS Manuela,VANEGAS M,Manuela VANEGAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,170.0,,['Football'],['Women'],2000-11-09
1925995,CHITUNDU Avell,CHITUNDU A,Avell CHITUNDU,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,140.0,,['Football'],['Women'],1997-07-30
1925999,BANDA Barbra,BANDA B,Barbra BANDA,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,153.0,,['Football'],['Women'],2000-03-20
1926015,CHANDA Grace,CHANDA G,Grace CHANDA,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,160.0,,['Football'],['Women'],1997-06-11
1926018,ZULU Misozi,ZULU M,Misozi ZULU,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,158.0,,['Football'],['Women'],1994-10-11
1926035,CHANDA Hellen,CHANDA H,Hellen CHANDA,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,165.0,,['Football'],['Women'],1998-06-19
1926040,MUPOPO Kabange,MUPOPO K,Kabange MUPOPO,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,157.0,,['Football'],['Women'],1992-09-21
1926043,MWEEMBA Lushomo,MWEEMBA L,Lushomo MWEEMBA,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,160.0,,['Football'],['Women'],2001-03-28
1926046,TEMBO Martha,TEMBO M,Martha TEMBO,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,154.0,,['Football'],['Women'],1998-03-08
1926050,MUSOLE Ngambo,MUSOLE N,Ngambo MUSOLE,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,168.0,,['Football'],['Women'],1998-06-26
1926052,ZULU Pauline,ZULU P,Pauline ZULU,Female,Athlete,ZAM,Zambia,Zambia,Zambia,Zambia,ZAM,170.0,,['Football'],['Women'],2004-10-03
